facilityType,seNumber,sectionUid,sectionName,dataElementUid,dataElementCode,dhis2DataElementCode,dhis2DataElementName,sortOrder,active
HOSPITAL,9,,Prevention and Control of Infection,,9.1.2.2,,,352,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.1.2.3,,,353,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.1.2.4,,,354,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.1.2.5,,,355,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.2.1.1,,,356,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.2.1.2,,,357,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.2.1.3,,,358,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.2.1.4,,,359,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.2.1.5,,,360,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.2.1.6,,,361,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.2.1.7,,,362,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.2.1.8,,,363,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.2.1.9,,,364,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.2.1.10,,,365,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.2.2.1,,,366,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.2.2.2,,,367,TRUE
HOSPITAL,9,,Prevention and Control of Infection,,9.2.2.3,,,368,TRUE
