facilityType,seNumber,sectionPiId,sectionTitle,sortOrder,active
HOSPITAL,43,43.10,Prevention and control of infection,10,TRUE
HOSPITAL,43,43.11,Occupational Health and Safety and Risk Management,11,TRUE
HOSPITAL,44,44.1,Coordination of Patient Care,1,TRUE
HOSPITAL,44,44.2,Assessment of Patients,2,TRUE
HOSPITAL,44,44.3,Patient Care,3,TRUE
HOSPITAL,44,44.4,Medication Management,4,TRUE
HOSPITAL,44,44.5,Food and Nutrition Therapy,5,TRUE
HOSPITAL,44,44.6,Patient and Family Education,6,TRUE
HOSPITAL,44,44.7,Continuity of Care,7,TRUE
HOSPITAL,44,44.8,Quality Improvement,8,TRUE
HOSPITAL,44,44.9,Patient Rights,9,TRUE
HOSPITAL,44,44.10,Prevention and Control of Infection,10,TRUE
HOSPITAL,44,44.11,Occupational Health and Safety and Risk Management,11,TRUE
HOSPITAL,45,45.1,Management and staffing,1,TRUE
HOSPITAL,45,45.2,Volunteer development and education,2,TRUE
HOSPITAL,45,45.3,Policies and procedures,3,TRUE
HOSPITAL,45,45.4,Facilities and equipment,4,TRUE
HOSPITAL,45,45.5,Patient care,5,TRUE
HOSPITAL,45,45.6,Quality improvement,6,TRUE
HOSPITAL,45,45.7,Patient rights,7,TRUE
HOSPITAL,45,45.8,Prevention and control of infection,8,TRUE
